,Nama_Produk,Lokasi,Tahun,Price,Wilayah,Merek,Model,Periode,Usia,Harga_Terkoreksi,Merek_encoded,Model_encoded
66,Toyota Grand Avanza Veloz 1.5 AT Facelift Silver NIK 2017 2018,"Pasar Minggu, Jakarta Selatan",2017,149000000,Jakarta Selatan,Toyota,Grand,2013-2017,8,64139614,10,78
67,Toyota Alphard 2.5 G ATPM Pilot Seat AT White On Beige 2022/2023,"Cilandak, Jakarta Selatan",2022,945000000,Jakarta Selatan,Toyota,Alphard,2018-2022,3,688905000,10,21
68,[LOW KM] Toyota Alphard 2.5 G ATPM TSS Pilot Seat AT Black 2021/2022,"Kebayoran Lama, Jakarta Selatan",2021,974000000,Jakarta Selatan,Toyota,Alphard,2018-2022,4,639041400,10,21
69,[ LOW KM 23RB ] Suzuki Jimny 1.5 3 Door MT Manual Putih 2019/2020,"Kebayoran Baru, Jakarta Selatan",2019,326000000,Jakarta Selatan,Suzuki,Jimny,2018-2022,6,173249766,9,94
70,Daihatsu Sigra 2019 Bensin,"Cilandak, Jakarta Selatan",2019,115000000,Jakarta Selatan,Daihatsu,Sigra,2018-2022,6,61115715,1,132
71,Toyota voxy 2017 CASH low KM,"Pasar Minggu, Jakarta Selatan",2017,280000000,Jakarta Selatan,Toyota,Voxy,2013-2017,8,120530819,10,154
72,Daihatsu Xenia Li,"Pasar Minggu, Jakarta Selatan",2008,68000000,Jakarta Selatan,Daihatsu,Xenia,2008-2012,17,11340484,1,164
73,DP Rendah - Toyota Voxy 2.0 Bensin-AT 2017(SZM),"Pulo Gadung, Jakarta Timur",2017,286000000,Jakarta Timur,Toyota,Voxy,2013-2017,8,123113622,10,154
74,Pajak Panjang - Mazda CX5 2.5 Grand Touring Bensin-AT 2017(PIP),"Pulo Gadung, Jakarta Timur",2017,250000000,Jakarta Timur,Mazda,Cx5,2013-2017,8,107616803,5,57
75,Pajak Panjang - Honda Brio Satya 1.2 E Bensin-AT 2019 Abu (BIT),"Jatinegara, Jakarta Timur",2019,145000000,Jakarta Timur,Honda,Brio,2018-2022,6,77058945,2,31
76,Pajak Panjang - Daihatsu Terios 1.5 R Bensin-AT 2018 Hitam (FIF),"Jatinegara, Jakarta Timur",2018,179000000,Jakarta Timur,Daihatsu,Terios,2018-2022,7,85615145,1,145
77,Pajak Panjang - Toyota Camry 2.5 G Bensin-AT 2016 Hitam (SAM),"Jatinegara, Jakarta Timur",2016,184000000,Jakarta Timur,Toyota,Camry,2013-2017,9,71285370,10,34
78,[ LOW KM ] Mitsubishi Pajero Dakar Ultimate 4x4 AWD AT 2022/2023,"Kebayoran Baru, Jakarta Selatan",2022,579000000,Jakarta Selatan,Mitsubishi,Pajero,2018-2022,3,422091000,7,119
79,TOYOTA RAIZE 1.0 TURBO GR TSS AT 2021 BIRU,"Pesanggrahan, Jakarta Selatan",2021,195000000,Jakarta Selatan,Toyota,Toyota,2018-2022,4,127939500,10,148
80,Toyota Vellfire 2.5 G ATPM Facelift AT Abu 2018 Low KM 32rb Record,"Kebayoran Baru, Jakarta Selatan",2018,619000000,Jakarta Selatan,Toyota,Vellfire,2018-2022,7,296065781,10,150
81,Honda Jazz Idsi AT 2007 MMC (rare color),"Cilandak, Jakarta Selatan",2007,78000000,Jakarta Selatan,Honda,Jazz,2003-2007,18,11707382,2,93
82,[36rb] BMW 218i GT Grantouerer 2015 Panoramic,"Cilandak, Jakarta Selatan",2015,240000000,Jakarta Selatan,BMW,218I,2013-2017,10,83682826,0,2
83,[SUNROOF] Mazda CX5 Elite Bose Camera360 Merah 2022/2023,"Mampang Prapatan, Jakarta Selatan",2022,399000000,Jakarta Selatan,Mazda,Cx5,2018-2022,3,290871000,5,57
84,Mercedes-Benz E200 W212 2014 Facelift,"Pasar Minggu, Jakarta Selatan",2014,299000000,Jakarta Selatan,Mercedes,-Benz,2013-2017,11,93829368,6,1
85,Pajak Panjang - Honda HRV 1.5 S Bensin-AT 2021 Hitam (SRS),"Jatinegara, Jakarta Timur",2021,277000000,Jakarta Timur,Honda,Hrv,2018-2022,4,181739700,2,86
86,DP Rendah - Toyota Yaris 1.5 S Bensin-AT 2021 Merah (FAF),"Jatinegara, Jakarta Timur",2021,234000000,Jakarta Timur,Toyota,Yaris,2018-2022,4,153527400,10,169
87,DP Rendah - Nissan Grand livina 1.5 Highway Star Bensin-MT 2017 Hitam,"Jatinegara, Jakarta Timur",2017,133000000,Jakarta Timur,Nissan,Grand,2013-2017,8,57252139,8,78
88,DP Rendah - Mitsubishi Xpander 1.5 Sport Bensin-AT 2018 Silver (CYA),"Jatinegara, Jakarta Timur",2018,184000000,Jakarta Timur,Mitsubishi,Xpander,2018-2022,7,88006630,7,167
89,Toyota CALYA G 1.2 4X2 AT 2017 Putih Premium Condition - B2346TOZ,"Duren Sawit, Jakarta Timur",2017,108000000,Jakarta Timur,Toyota,Calya,2013-2017,8,46490459,10,33
90,BMW All New Z4 Roadster AT 2022 Biru M40i 3.000cc B567ZOR mdl 2023,"Kebayoran Baru, Jakarta Selatan",2022,1395000000,Jakarta Selatan,BMW,All,2018-2022,3,1016955000,0,19
91,BMW F10 523i 2010 Automatic Istimewa,"Cilandak, Jakarta Selatan",2010,167000000,Jakarta Selatan,BMW,F10,2008-2012,15,34383819,0,71
92,[ LOW KM 24RB ] Nissan Magnite Premium 1.0 Turbo AT Merah 2021 2022,"Kebayoran Baru, Jakarta Selatan",2021,179000000,Jakarta Selatan,Nissan,Magnite,2018-2022,4,117441900,8,106
93,[LOW KM] Nissan Magnite Premium 1.0 Turbo CVT AT Merah 2021/2022,"Kebayoran Lama, Jakarta Selatan",2021,179000000,Jakarta Selatan,Nissan,Magnite,2018-2022,4,117441900,8,106
94,Wuling Cortez 2024 Bensin,"Kebayoran Lama, Jakarta Selatan",2024,276000000,Jakarta Selatan,Wuling,Cortez,2023-2027,1,248400000,11,46
95,Toyota Vellfire G ATPM 2015 KM LOW !!!,"Kebayoran Baru, Jakarta Selatan",2015,537000000,Jakarta Selatan,Toyota,Vellfire,2013-2017,10,187240322,10,150
96,Pajak Panjang - Toyota Calya 1.2 G Bensin-MT 2019 Putih (9GR),"Jatinegara, Jakarta Timur",2019,111000000,Jakarta Timur,Toyota,Calya,2018-2022,6,58989951,10,33
97,Pajak Panjang - Honda Brio Satya 1.2 E Bensin-AT 2020 Putih (SAS),"Jatinegara, Jakarta Timur",2020,151000000,Jakarta Timur,Honda,Brio,2018-2022,5,89163990,2,31
98,DP Rendah - Suzuki Ertiga 1.4 GL Bensin-MT 2015 Abu (VKE),"Jatinegara, Jakarta Timur",2015,113000000,Jakarta Timur,Suzuki,Ertiga,2013-2017,10,39400664,9,66
99,Pajak Panjang - Toyota Avanza 1.3 Veloz Bensin-AT 2019 Hitam (FFJ),"Jatinegara, Jakarta Timur",2019,171000000,Jakarta Timur,Toyota,Avanza,2018-2022,6,90876411,10,24
100,Toyota Alphard 2.5 G ATPM 2019 istimewa termurah kredit DP minim,"Cilandak, Jakarta Selatan",2019,675000000,Jakarta Selatan,Toyota,Alphard,2018-2022,6,358722675,10,21
101,Toyota YARIS G 1.5  AT 2019 Abu-abu Premium Condition - B1611VMT,"Kebayoran Lama, Jakarta Selatan",2019,167000000,Jakarta Selatan,Toyota,Yaris,2018-2022,6,88750647,10,169
102,Toyota Vellfire G TSS 2023 nik 2022 putih full original 32 rb km white,"Kebayoran Baru, Jakarta Selatan",2022,935000000,Jakarta Selatan,Toyota,Vellfire,2018-2022,3,681615000,10,150
103,[TSS] Toyota Alphard 2.5 G ATPM Pilot Seat AT Black On Beige 2023/2024,"Pesanggrahan, Jakarta Selatan",2023,1040000000,Jakarta Selatan,Toyota,Alphard,2023-2027,2,842400000,10,21
104,[ LOW KM 11RB ] Mazda CX3 CX-3 CX 3 2.0 Pro Sunroof Abu 2021 2022,"Kebayoran Baru, Jakarta Selatan",2021,295000000,Jakarta Selatan,Mazda,Cx3,2018-2022,4,193549500,5,55
105,[ LOW KM 11RB ] Mazda CX3 CX-3 CX 3 2.0 Pro Sunroof Abu 2021 2022,"Kebayoran Baru, Jakarta Selatan",2021,295000000,Jakarta Selatan,Mazda,Cx3,2018-2022,4,193549500,5,55
106,Toyota Avanza Veloz 2016 1.5cc AT Matic Facelift Model 2017,"Pasar Minggu, Jakarta Selatan",2016,146000000,Jakarta Selatan,Toyota,Avanza,2013-2017,9,56563391,10,24
